"hex_id","period_50yr","total_buildings","risk_buildings","risk_share","map_category"
223,"1975-2025",NA,NA,NA,"No building data"
224,"1925-1974",NA,NA,NA,"No building data"
224,"1975-2025",NA,NA,NA,"No building data"
225,"1925-1974",162,0,0,"0%"
225,"1975-2025",56,0,0,"0%"
226,"1925-1974",NA,NA,NA,"No building data"
226,"1975-2025",1,0,0,"0%"
227,"1925-1974",1,0,0,"0%"
227,"1975-2025",NA,NA,NA,"No building data"
241,"1925-1974",1,0,0,"0%"
241,"1975-2025",NA,NA,NA,"No building data"
242,"1925-1974",NA,NA,NA,"No building data"
242,"1975-2025",NA,NA,NA,"No building data"
243,"1925-1974",2,0,0,"0%"
243,"1975-2025",NA,NA,NA,"No building data"
244,"1925-1974",14,0,0,"0%"
244,"1975-2025",21,0,0,"0%"
245,"1925-1974",22,0,0,"0%"
245,"1975-2025",7,0,0,"0%"
246,"1925-1974",NA,NA,NA,"No building data"
246,"1975-2025",NA,NA,NA,"No building data"
247,"1925-1974",NA,NA,NA,"No building data"
247,"1975-2025",NA,NA,NA,"No building data"
248,"1925-1974",NA,NA,NA,"No building data"
248,"1975-2025",NA,NA,NA,"No building data"
250,"1925-1974",NA,NA,NA,"No building data"
250,"1975-2025",NA,NA,NA,"No building data"
251,"1925-1974",NA,NA,NA,"No building data"
251,"1975-2025",NA,NA,NA,"No building data"
262,"1925-1974",NA,NA,NA,"No building data"
262,"1975-2025",NA,NA,NA,"No building data"
263,"1925-1974",NA,NA,NA,"No building data"
263,"1975-2025",2,0,0,"0%"
264,"1925-1974",2,0,0,"0%"
264,"1975-2025",NA,NA,NA,"No building data"
265,"1925-1974",4,0,0,"0%"
265,"1975-2025",22,0,0,"0%"
266,"1925-1974",1,0,0,"0%"
266,"1975-2025",1,0,0,"0%"
267,"1925-1974",NA,NA,NA,"No building data"
267,"1975-2025",1,0,0,"0%"
268,"1925-1974",3,0,0,"0%"
268,"1975-2025",1,0,0,"0%"
